x,y,step
31,101,-6689
31,102,-6688
30,102,-6687
30,101,-6686
30,100,-6685
30,99,-6684
30,98,-6683
29,98,-6682
29,99,-6681
28,99,-6680
27,99,-6679
27,100,-6678
28,100,-6677
29,100,-6676
29,101,-6675
29,102,-6674
28,102,-6673
27,102,-6672
27,101,-6671
26,101,-6670
26,102,-6669
25,102,-6668
25,101,-6667
24,101,-6666
24,102,-6665
23,102,-6664
23,101,-6663
22,101,-6662
21,101,-6661
20,101,-6660
20,102,-6659
21,102,-6658
22,102,-6657
22,103,-6656
21,103,-6655
20,103,-6654
19,103,-6653
18,103,-6652
17,103,-6651
17,104,-6650
16,104,-6649
16,103,-6648
15,103,-6647
15,104,-6646
14,104,-6645
14,105,-6644
14,106,-6643
15,106,-6642
15,105,-6641
16,105,-6640
17,105,-6639
18,105,-6638
18,104,-6637
19,104,-6636
19,105,-6635
20,105,-6634
20,104,-6633
21,104,-6632
22,104,-6631
23,104,-6630
23,103,-6629
24,103,-6628
25,103,-6627
26,103,-6626
27,103,-6625
28,103,-6624
28,104,-6623
27,104,-6622
26,104,-6621
25,104,-6620
24,104,-6619
24,105,-6618
25,105,-6617
26,105,-6616
27,105,-6615
28,105,-6614
29,105,-6613
29,104,-6612
29,103,-6611
30,103,-6610
30,104,-6609
31,104,-6608
31,103,-6607
32,103,-6606
32,104,-6605
33,104,-6604
34,104,-6603
35,104,-6602
35,105,-6601
34,105,-6600
33,105,-6599
33,106,-6598
32,106,-6597
32,105,-6596
31,105,-6595
31,106,-6594
30,106,-6593
29,106,-6592
28,106,-6591
27,106,-6590
26,106,-6589
25,106,-6588
24,106,-6587
24,107,-6586
23,107,-6585
23,106,-6584
23,105,-6583
22,105,-6582
22,106,-6581
22,107,-6580
21,107,-6579
21,106,-6578
20,106,-6577
19,106,-6576
18,106,-6575
17,106,-6574
17,107,-6573
18,107,-6572
19,107,-6571
20,107,-6570
20,108,-6569
20,109,-6568
19,109,-6567
19,108,-6566
18,108,-6565
17,108,-6564
16,108,-6563
16,107,-6562
15,107,-6561
15,108,-6560
14,108,-6559
14,109,-6558
13,109,-6557
13,110,-6556
13,111,-6555
14,111,-6554
14,110,-6553
15,110,-6552
15,109,-6551
16,109,-6550
17,109,-6549
18,109,-6548
18,110,-6547
17,110,-6546
16,110,-6545
16,111,-6544
17,111,-6543
17,112,-6542
16,112,-6541
15,112,-6540
14,112,-6539
14,113,-6538
15,113,-6537
16,113,-6536
16,114,-6535
17,114,-6534
